Step	Training Loss
17525	1.615000
17550	1.292500
17575	1.689300
17600	1.213800
17625	1.627000
17650	1.272400
17675	1.631500
17700	1.309500
17725	1.598300
17750	1.256500
17775	1.666900
17800	1.295600
17825	1.637300
17850	1.253100
17875	1.651100
17900	1.256500
17925	1.591500
17950	1.218000
17975	1.628200
18000	1.328900
18025	1.613300
18050	1.285400
18075	1.674700
18100	1.329200
18125	1.667400
18150	1.232700
18175	1.657000
18200	1.298300
18225	1.677700
18250	1.262800
18275	1.641200
18300	1.262800
18325	1.615300
18350	1.331700
18375	1.695200
18400	1.334300
18425	1.587200
18450	1.264200
18475	1.588700
18500	1.305700
18525	1.694700
18550	1.288200
18575	1.626000
18600	1.298500
18625	1.660200
18650	1.352000
18675	1.627500
18700	1.323900
18725	1.585800
18750	1.316600
18775	1.577300
18800	1.302000
18825	1.601600
18850	1.154300
18875	1.585800
18900	1.244100
18925	1.616400
18950	1.284200
18975	1.605900
19000	1.246700
19025	1.623000
19050	1.253800
19075	1.676200
19100	1.298500
19125	1.625400
19150	1.314500
19175	1.582300
19200	1.314800
19225	1.580200
19250	1.240200
19275	1.639100
19300	1.270300
19325	1.646500
19350	1.290200
19375	1.578300
19400	1.279400
19425	1.614500
19450	1.216500
19475	1.585900
19500	1.256900
19525	1.641200
19550	1.249500
19575	1.601200
19600	1.251500
19625	1.637900
19650	1.276900
19675	1.601500
19700	1.322900
19725	1.641400
19750	1.289500
19775	1.686100
19800	1.286100
19825	1.657500
19850	1.346100
19875	1.577600
19900	1.294200
19925	1.600700
19950	1.279000
19975	1.636300
20000	1.377300
20025	1.624800
20050	1.277300
20075	1.574500
20100	1.253500
20125	1.619600
20150	1.288300
20175	1.677500
20200	1.212700
20225	1.640600
20250	1.321700
20275	1.574000
20300	1.248600
20325	1.625900
20350	1.236600
20375	1.675200
20400	1.352400
20425	1.606800
20450	1.377800
20475	1.616500
20500	1.289400
20525	1.667700
20550	1.313000
20575	1.566300
20600	1.253100
20625	1.633000
20650	1.223400
20675	1.647400
20700	1.248900
20725	1.609000
20750	1.260700
20775	1.651300
20800	1.336800
20825	1.635700
20850	1.262600
20875	1.574000
20900	1.308500
20925	1.605500
20950	1.289700
20975	1.621500
21000	1.319100
21025	1.641900
21050	1.363800
21075	1.588000
21100	1.319400
21125	1.612700
21150	1.284400
21175	1.629200
21200	1.245900
21225	1.619500
21250	1.295500
21275	1.626800
21300	1.313900
21325	1.579100
21350	1.244400
21375	1.611900
21400	1.296200
21425	1.563100
21450	1.264400
21475	1.618700
21500	1.299100
21525	1.605300
21550	1.350400
21575	1.632200
21600	1.306400
21625	1.669300
21650	1.296600
21675	1.570400
21700	1.239800
21725	1.667600
21750	1.284000
21775	1.583600
21800	1.229100
21825	1.544400
21850	1.173400
21875	1.630500
21900	1.222500
21925	1.631400
21950	1.300800
21975	1.647900
22000	1.223000
22025	1.599600
22050	1.251600
22075	1.674500
22100	1.308300
22125	1.625700
22150	1.279700
22175	1.615500
22200	1.265400
22225	1.629200
22250	1.323700
22275	1.627600
22300	1.229800
22325	1.616300
22350	1.323300
22375	1.672500
22400	1.200600
22425	1.639600
22450	1.229300
22475	1.630600
22500	1.272700
22525	1.663900
22550	1.274200
22575	1.595700
22600	1.190600
22625	1.599200
22650	1.190700
22675	1.608700
22700	1.274200
22725	1.598100
22750	1.227700
22775	1.615400
22800	1.293900
22825	1.639600
22850	1.244500
22875	1.502800
22900	1.364000
22925	1.632200
22950	1.343300
22975	1.593600
23000	1.322000
23025	1.606900
23050	1.332400
23075	1.574900
23100	1.264300
23125	1.578400
23150	1.220800
23175	1.570800
23200	1.272000
23225	1.594800
23250	1.267700
23275	1.588700
23300	1.301700
23325	1.630300
23350	1.296100
23375	1.629600
23400	1.337800
23425	1.597700
23450	1.298100
23475	1.656000
23500	1.321000
23525	1.611400
23550	1.295000
23575	1.606100
23600	1.333900
23625	1.614300
23650	1.305400
23675	1.623200
23700	1.293000
23725	1.653800
23750	1.192700
23775	1.576800
23800	1.220200
23825	1.623300
23850	1.311000
23875	1.617600
23900	1.215900
23925	1.598300
23950	1.276800
23975	1.617000
24000	1.300400
24025	1.613700
24050	1.264000
24075	1.613100
24100	1.292000
24125	1.587700
24150	1.321200
24175	1.610500
24200	1.302400
24225	1.625200
24250	1.240900
24275	1.690700
24300	1.251000
24325	1.629600
24350	1.296700
24375	1.641900
24400	1.300100
24425	1.711700
